State,District,Population,State_Match,District_Match,Banking_Outlets,Population_per_Bank,Banking_Access_Rank,Banking_Access_Category,Expected_Banking_Outlets,Banking_Outlet_Gap,Banking_Gap_Priority
BIHAR,SITAMARHI,3423574,BIHAR,SITAMARHI,99,34581.555555555555,45.0,Very High Population per Bank,239.44,140.44,Very High Priority
WEST BENGAL,UTTAR DINAJPUR,3007134,WEST BENGAL,UTTAR DINAJPUR,87,34564.75862068965,46.0,Very High Population per Bank,210.31,123.31,Very High Priority
ASSAM,BARPETA,1693622,ASSAM,BARPETA,49,34563.71428571428,47.0,Very High Population per Bank,118.45,69.45,Very High Priority
BIHAR,PURBA CHAMPARAN,5099371,BIHAR,PURBI CHAMPARAN,148,34455.20945945946,48.0,Very High Population per Bank,356.64,208.64,Very High Priority
UTTAR PRADESH,MORADABAD,4772006,UTTAR PRADESH,MORADABAD,140,34085.75714285715,49.0,Very High Population per Bank,333.74,193.74,Very High Priority
BIHAR,GOPALGANJ,2562012,BIHAR,GOPALGANJ,76,33710.68421052631,50.0,Very High Population per Bank,179.18,103.18,Very High Priority
TAMIL NADU,VELLORE,3936331,TAMIL NADU,VELLORE,117,33643.8547008547,51.0,Very High Population per Bank,275.3,158.3,Very High Priority
RAJASTHAN,BHARATPUR,2548462,RAJASTHAN,BHARATPUR,77,33096.90909090909,52.0,Very High Population per Bank,178.23,101.23,Very High Priority
ASSAM,MORIGAON,957423,ASSAM,MORIGAON,29,33014.58620689655,53.0,Very High Population per Bank,66.96,37.96,High Priority
UTTAR PRADESH,SITAPUR,4483992,UTTAR PRADESH,SITAPUR,136,32970.529411764706,54.0,Very High Population per Bank,313.6,177.6,Very High Priority
MADHYA PRADESH,SHEOPUR,687861,MADHYA PRADESH,SHEOPUR,21,32755.285714285714,55.0,Very High Population per Bank,48.11,27.11,Moderate Priority
CHHATTISGARH,RAJNANDGAON,1537133,CHHATTISGARH,RAJNANDGAON,47,32704.957446808512,56.0,Very High Population per Bank,107.5,60.5,High Priority
BIHAR,KISHANGANJ,1690400,BIHAR,KISHANGANJ,52,32507.69230769231,57.0,Very High Population per Bank,118.22,66.22,High Priority
UTTAR PRADESH,FARRUKHABAD,1885204,UTTAR PRADESH,FARRUKHABAD,58,32503.51724137931,58.0,Very High Population per Bank,131.85,73.85,Very High Priority
MAHARASHTRA,PARBHANI,1836086,MAHARASHTRA,PARBHANI,57,32212.035087719298,59.0,Very High Population per Bank,128.41,71.41,Very High Priority
ODISHA,NABARANGAPUR,1220946,ODISHA,NAWRANGPUR,38,32130.157894736843,60.0,Very High Population per Bank,85.39,47.39,High Priority
RAJASTHAN,ALWAR,3674179,RAJASTHAN,ALWAR,115,31949.38260869565,61.0,Very High Population per Bank,256.96,141.96,Very High Priority
TAMIL NADU,KANCHEEPURAM,3998252,TAMIL NADU,KANCHEEPURAM,126,31732.15873015873,62.0,Very High Population per Bank,279.63,153.63,Very High Priority
ASSAM,KOKRAJHAR,887142,ASSAM,KOKRAJHAR,28,31683.64285714286,63.0,Very High Population per Bank,62.04,34.04,High Priority
JAMMU & KASHMIR,DODA,409936,JAMMU & KASHMIR,DODA,13,31533.53846153846,64.0,Very High Population per Bank,28.67,15.67,Low Priority
ASSAM,GOALPARA,1008183,ASSAM,GOALPARA,32,31505.71875,65.0,Very High Population per Bank,70.51,38.51,High Priority
MIZORAM,CHAMPHAI,125745,MIZORAM,CHAMPHAI,4,31436.25,66.0,Very High Population per Bank,8.79,4.79,Low Priority
